country,population
Afghanistan,32890171
Algeria,45400000
Argentina,45808747
Australia,25958069
Austria,8979894
Bahrain,1501635
Bangladesh,172310120
Belarus,9349645
Belgium,11617817
Botswana,2410338
Brazil,214425813
Bulgaria,6520314
Cameroon,24348251
Canada,38601146
Chile,19678363
China,1412600000
Colombia,51049498
Costa Rica,5163038
Croatia,3888529
Cuba,11181595
Cyprus,888005
Czech Republic,10524167
Denmark,5873420
Ecuador,17929924
Egypt,102997437
Estonia,1330068
Ethiopia,105163988
Finland,5519255
France,67813000
Georgia,3728573
Germany,83222442
Ghana,30792608
Greece,10678632
Hungary,9689000
Iceland,376000
India,1388718308
Indonesia,271350000
Iran,85240804
Iraq,41190700
Ireland,5011500
Israel,9481820
Italy,59045521
Japan,125340000
Jordan,11156196
Kazakhstan,19172640
Kuwait,4670713
Latvia,1874900
Lebanon,6769000
Libya,6959000
Lithuania,2794961
Luxembourg,634730
Malawi,18898441
Malaysia,32700800
Mauritius,1266334
Mexico,126014024
Mongolia,3425321
Morocco,36531713
Mozambique,30832244
Namibia,2550226
Nepal,29192480
Netherlands,17696031
New Zealand,5132936
Nigeria,211401000
Norway,5425270
Pakistan,225200000
Palestine,5227193
Peru,33035304
Philippines,111566835
Poland,38116000
Portugal,10347892
Qatar,2799202
Romania,19186201
Russia,145478097
Saudi Arabia,35013414
Senegal,17223497
Serbia,6871547
Singapore,5453600
Slovakia,5452025
Slovenia,2108977
South Africa,60142978
South Korea,51671569
Spain,47394223
Sri Lanka,22156000
Sweden,10452326
Switzerland,8717105
Taiwan,23375314
Thailand,66759855
Tunisia,11746695
Turkey,84680273
UK,67081234
Ukraine,41167336
United Arab Emirates,9503738
Uruguay,3554915
USA,333321543
Uzbekistan,35405109
Vietnam,98510000
Zimbabwe,15790716