from,to,major_organ,tumor_group
body,neural,neural,neural
body,otic,otic,otic
body,ocular,ocular,ocular
body,nasal,nasal,nasal
body,oral,oral,oral
body,lymphatic,lymphatic,lymphatic
body,endocrine,endocrine,endocrine
body,mammary,mammary,mammary
body,cardiovascular,cardiovascular,cardiovascular
body,respiratory,respiratory,respiratory
body,gastrointestinal,gastrointestinal,gastrointestinal
body,"hepatic, pancreatic, biliary","hepatic, pancreatic, biliary","hepatic, pancreatic, biliary"
body,reproductive,reproductive,reproductive
body,urinary,urinary,urinary
body,dermal,dermal,dermal
body,musculoskeletal,musculoskeletal,musculoskeletal
body,adipose,adipose,adipose
body,multiple organs,multiple organs,multiple organs
body,prenatal,NA,NA
body,unidentified,unidentified,unidentified
body,venom gland,venom gland,NA
neural,brain,neural,brain
neural,barriers,neural,neural
neural,meninges,neural,neural
neural,neuroimmune,neural,neural
neural,nerve,neural,neural
neural,spine,neural,neural
neural,enteric nervous system,neural,neural
neural,unspecified neural,neural,neural
brain,forebrain,neural,brain
brain,brainstem,neural,brain
brain,unspecified brain,neural,brain
forebrain,cerebrum,neural,brain
forebrain,diencephalon,neural,brain
cerebrum,cortex,neural,brain
cerebrum,hippocampus,neural,brain
cerebrum,basal ganglion,neural,brain
cortex,corticostriatal network,neural,brain
basal ganglion,striatum,neural,brain
diencephalon,thalamus,neural,brain
diencephalon,hypothalamus,neural,brain
diencephalon,pituitary,neural,brain
brainstem,midbrain,neural,brain
brainstem,hindbrain,neural,brain
midbrain,ventral midbrain,neural,brain
hindbrain,cerebellum,neural,brain
barriers,blood-brain barrier,neural,neural
barriers,choroid plexus,neural,neural
barriers,glymphatic,neural,neural
glymphatic,gliovascular unit,neural,neural
nerve,ganglion,neural,neural
nerve,neurovascular,neural,neural
nerve,neuromuscular,neural,neural
nerve,unspecified nerve,neural,neural
ganglion,autonomic ganglion,neural,neural
ganglion,dorsal root ganglion,neural,neural
neurovascular,neurovascular unit,neural,neural
neuromuscular,neuromuscular junction,neural,neural
spine,spinal cord,neural,neural
spine,unspecified spine,neural,neural
otic,cochlea,otic,otic
otic,umbo,otic,otic
otic,unspecified otic,otic,otic
ocular,optic cup,ocular,ocular
ocular,retina,ocular,ocular
ocular,lacrimal gland,ocular,ocular
ocular,meibomian gland,ocular,ocular
ocular,cornea,ocular,ocular
ocular,choroid,ocular,ocular
ocular,unspecified ocular,ocular,ocular
retina,blood-retinal barrier,ocular,ocular
cornea,corneal limbus,ocular,ocular
cornea,corneal barrier,ocular,ocular
oral,tooth,oral,oral
oral,tongue,oral,oral
oral,salivary gland,oral,oral
oral,gingival crevice,oral,oral
oral,unspecified oral,oral,oral
tooth,dental follicle,oral,oral
tooth,dental papilla,oral,oral
tooth,enamel organ,oral,oral
tooth,periodontium,oral,oral
tooth,dental pulp,oral,oral
tongue,taste bud,oral,oral
tongue,circumvallate papilla,oral,oral
salivary gland,parotid gland,oral,oral
salivary gland,submandibular gland,oral,oral
lymphatic,lymphoid,lymphatic,lymphatic
lymphatic,lymphatic vessel,lymphatic,lymphatic
lymphatic,unspecified lymphatic,lymphatic,lymphatic
lymphoid,primary lymphoid,lymphatic,lymphatic
lymphoid,secondary lymphoid,lymphatic,lymphatic
primary lymphoid,thymus,lymphatic,lymphatic
primary lymphoid,bone marrow,lymphatic,lymphatic
secondary lymphoid,spleen,lymphatic,lymphatic
secondary lymphoid,germinal center,lymphatic,lymphatic
secondary lymphoid,tonsil,lymphatic,lymphatic
secondary lymphoid,lymph node,lymphatic,lymphatic
lymph node,sinus,lymphatic,lymphatic
endocrine,adrenal,endocrine,endocrine
endocrine,neuroendocrine,endocrine,neuroendocrine
endocrine,thyroid,endocrine,thyroid
endocrine,unspecified endocrine,endocrine,endocrine
thyroid,parathyroid,endocrine,thyroid
thyroid,thyroid gland,endocrine,thyroid
mammary,mammary gland,mammary,mammary
mammary,breast duct,mammary,mammary
mammary,unspecified mammary,mammary,mammary
cardiovascular,heart,cardiovascular,heart
cardiovascular,vascular,cardiovascular,vascular
cardiovascular,unspecified cardiovascular,cardiovascular,cardiovascular
heart,myocardium,cardiovascular,cardiovascular
heart,valve,cardiovascular,cardiovascular
vascular,blood,cardiovascular,vascular
vascular,blood vessel,cardiovascular,vascular
blood vessel,artery,cardiovascular,vascular
blood vessel,microvascular,cardiovascular,vascular
blood vessel,perivascular niche,cardiovascular,vascular
artery,aorta,cardiovascular,vascular
respiratory,mucociliary,respiratory,respiratory
respiratory,airway,respiratory,airway
respiratory,lung,respiratory,lung
respiratory,pleura,respiratory,respiratory
respiratory,unspecified respiratory,respiratory,respiratory
airway,pharynx,respiratory,pharynx
airway,larynx,respiratory,larynx
airway,trachea,respiratory,airway
trachea,tracheosphere,respiratory,airway
pharynx,nasopharynx,respiratory,pharynx
pharynx,oropharynx,respiratory,pharynx
pharynx,hypopharynx,respiratory,pharynx
lung,alveolus,respiratory,lung
lung,bronchus,respiratory,lung
lung,bronchiole,respiratory,lung
lung,blood-air barrier,respiratory,lung
gastrointestinal,esophagus,gastrointestinal,esophagus
gastrointestinal,gastroesophageal junction,gastrointestinal,gastroesophageal junction
gastrointestinal,stomach,gastrointestinal,stomach
gastrointestinal,intestine,gastrointestinal,intestine
gastrointestinal,unspecified gastrointestinal,gastrointestinal,gastrointestinal
stomach,gastric antrum,gastrointestinal,stomach
stomach,gastric fundus,gastrointestinal,stomach
stomach,gastric corpus,gastrointestinal,stomach
stomach,abomasum,gastrointestinal,gastrointestinal
gastric corpus,gastric gland,gastrointestinal,stomach
intestine,small intestine,gastrointestinal,small intestine
intestine,large intestine,gastrointestinal,large intestine
intestine,unspecified intestine,gastrointestinal,gastrointestinal
small intestine,duodenum,gastrointestinal,small intestine
small intestine,ileum,gastrointestinal,small intestine
small intestine,jejunum,gastrointestinal,small intestine
large intestine,caecum,gastrointestinal,large intestine
large intestine,colon,gastrointestinal,large intestine
large intestine,rectum,gastrointestinal,large intestine
colon,appendix,gastrointestinal,appendix
"hepatic, pancreatic, biliary",pancreas,"hepatic, pancreatic, biliary",pancreas
"hepatic, pancreatic, biliary",liver,"hepatic, pancreatic, biliary",liver
"hepatic, pancreatic, biliary",biliary,"hepatic, pancreatic, biliary",biliary
"hepatic, pancreatic, biliary","unspecified hepatic, pancreatic, biliary","hepatic, pancreatic, biliary","hepatic, pancreatic, biliary"
pancreas,pancreatic duct,"hepatic, pancreatic, biliary",pancreas
pancreas,islet,"hepatic, pancreatic, biliary",pancreas
liver,lobule,"hepatic, pancreatic, biliary",liver
lobule,sinusoid,"hepatic, pancreatic, biliary",liver
biliary,bile duct,"hepatic, pancreatic, biliary",biliary
biliary,gallbladder,"hepatic, pancreatic, biliary",gallbladder
bile duct,intrahepatic bile duct,"hepatic, pancreatic, biliary",biliary
bile duct,extrahepatic bile duct,"hepatic, pancreatic, biliary",biliary
reproductive,female reproductive,reproductive,reproductive
reproductive,male reproductive,reproductive,reproductive
reproductive,unspecified reproductive,reproductive,reproductive
female reproductive,ovary,reproductive,ovary
female reproductive,oviduct,reproductive,ovary
female reproductive,uterus,reproductive,uterus
female reproductive,cervix,reproductive,cervix
female reproductive,vagina,reproductive,vagina
uterus,endometrium,reproductive,uterus
endometrium,endometrial gland,reproductive,uterus
endometrium,decidua,reproductive,uterus
male reproductive,testes,reproductive,testes
male reproductive,epididymis,reproductive,reproductive
male reproductive,prostate,reproductive,prostate
urinary,kidney,urinary,kidney
urinary,bladder,urinary,bladder
urinary,urethra,urinary,urinary
urinary,unspecified urinary,urinary,urinary
kidney,nephron,urinary,kidney
nephron,renal tubule,urinary,kidney
nephron,glomerulus,urinary,kidney
renal tubule,collecting duct,urinary,kidney
renal tubule,proximal tubule,urinary,kidney
renal tubule,distal tubule,urinary,kidney
dermal,hair follicle,dermal,dermal
dermal,sweat gland,dermal,dermal
dermal,epidermis,dermal,dermal
dermal,unspecified dermal,dermal,dermal
hair follicle,dermal papilla,dermal,dermal
hair follicle,sebaceous gland,dermal,dermal
musculoskeletal,osteochondral,musculoskeletal,musculoskeletal
musculoskeletal,joint,musculoskeletal,joint
musculoskeletal,muscle,musculoskeletal,muscle
musculoskeletal,tendon,musculoskeletal,musculoskeletal
musculoskeletal,anulus fibrosus,musculoskeletal,musculoskeletal
musculoskeletal,unspecified musculoskeletal,musculoskeletal,musculoskeletal
osteochondral,bone,musculoskeletal,bone
osteochondral,cartilage,musculoskeletal,musculoskeletal
joint,synovial joint,musculoskeletal,joint
joint,anterior cruciate ligament,musculoskeletal,joint
joint,artificial joint,musculoskeletal,NA
synovial joint,synovium,musculoskeletal,joint
adipose,white adipose tissue,adipose,adipose
adipose,omentum,adipose,adipose
adipose,unspecified adipose,adipose,adipose
prenatal,embryonic,NA,NA
prenatal,fetal,NA,NA
prenatal,unspecified prenatal,NA,NA
embryonic,blastoid and gastruloid,NA,NA
embryonic,blastocyst,NA,NA
embryonic,post-implantation,NA,NA
embryonic,multiple embryonic,NA,NA
embryonic,unspecified embryonic,NA,NA
blastoid and gastruloid,blastoid,NA,NA
blastoid and gastruloid,gastruloid,NA,NA
blastocyst,blastocyst embryonic,NA,NA
blastocyst,blastocyst extraembryonic,NA,NA
blastocyst embryonic,inner cell mass,NA,NA
inner cell mass,epiblast,NA,NA
inner cell mass,hypoblast,NA,NA
blastocyst extraembryonic,trophoblast,NA,NA
trophoblast,cytotrophoblast,NA,NA
post-implantation,post-implantation embryonic,NA,NA
post-implantation,post-implantation extraembryonic,NA,NA
post-implantation embryonic,neuroectoderm,NA,NA
post-implantation embryonic,neuromesoderm,NA,NA
post-implantation embryonic,paraxial mesoderm,NA,NA
post-implantation embryonic,precardiac,NA,NA
post-implantation embryonic,foregut,NA,NA
post-implantation embryonic,midgut,NA,NA
post-implantation embryonic,hindgut,NA,NA
post-implantation embryonic,ureteric bud,NA,NA
post-implantation embryonic,aorta gonad mesonephros,NA,NA
neuroectoderm,neural tube,NA,NA
neural tube,ganglionic eminence,NA,NA
neural tube,optic vesicle,NA,NA
aorta gonad mesonephros,mesonephros,NA,NA
post-implantation extraembryonic,placenta,NA,NA
placenta,placental barrier,NA,NA
placenta,fetal membrane,NA,NA
fetal membrane,amnion,NA,NA